,user,Tweet,Time
0,HerryNapit,"RT @HerryNapit: #Russia's invasion of #Ukraine worsens crises in Afghanistan, Lebanon, Myanmar, Palestine, Syria, Yemen, Tigray, Africa.…",2022-06-23 09:57:26+00:00
1,HerryNapit,"RT @HerryNapit: Lysychansk. The father saw his son's body.

""Russian Peace"" congratulates on Father's Day💔

#Lysychansk #Ukraine #Ukraina #…",2022-06-23 09:56:56+00:00
2,HerryNapit,"RT @HerryNapit: Ukraine war: Putin creates global food, fuel and financial crisis, push millions of people in Afghanistan, Lebanon, Myanmar…",2022-06-23 09:56:41+00:00
3,_aquariusmac,RT @AsianaTimes: #Putin is back on the world stage with the #BRICS2022  Summit. This will be his first time attending a forum with the head…,2022-06-23 09:56:30+00:00
4,HerryNapit,RT @HerryNapit: Russia: Did Putin try to poison a peace delegation in Ukraine? 😱https://t.co/chBO92vJbD #Putin☠️ #Russia #Rusia #Russian #R…,2022-06-23 09:55:58+00:00
5,HerryNapit,"RT @HerryNapit: Ukraine war: Thousands of civilians have been killed, towns reduced to rubble. 

Russian FM, Lavrov says Russia is not sque…",2022-06-23 09:55:50+00:00
6,HerryNapit,"RT @HerryNapit: China, India, EU (France, Germany, etc.) major buyers of Russian oil are fueling Putin's war on Ukraine, spike food and fue…",2022-06-23 09:55:21+00:00
7,HerryNapit,"RT @HerryNapit: Putin's brutal war: Thousands of civilians have been killed, Ukrainian towns reduced to rubble, millions of Ukrainians have…",2022-06-23 09:55:13+00:00
8,HerryNapit,RT @HerryNapit: Russia - Ukraine war: Heads shot and hands tied. Another mass grave was found in the #Bucha district of #Kyiv region. Accor…,2022-06-23 09:54:27+00:00
9,HerryNapit,"RT @HerryNapit: Russia - Ukraine war: Phone calls intercepted by Ukrainian intel &gt;&gt;&gt;&gt;&gt; Russian soldiers eat dogs, and come back home in clo…",2022-06-23 09:54:21+00:00
10,HerryNapit,RT @HerryNapit: Russia - Ukraine war: Ukrainian army and Ukrainians fight to protect their homeland. Defend themselves from the Russians. T…,2022-06-23 09:54:13+00:00
11,HerryNapit,"RT @HerryNapit: Ukraine war: Russians are facing the brunt of the climate change crisis. Russian vehicles in #Bryansk region, Russia are on…",2022-06-23 09:53:52+00:00
12,hahahahabhe,RT @raging545: VIDEO of Ukrainian partisans destroying Russian military vehicles supposedly in the Russian occupied South of Ukraine.  #Ukr…,2022-06-23 09:53:20+00:00
13,TeresaSardinha9,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:52:27+00:00
14,WriterJackWhite,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:51:30+00:00
15,annie5133,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:43:47+00:00
16,AWhitta46916467,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:43:26+00:00
17,gplaucio,RT @WarAgainstPutin: Evil #Russia keeps destroying civilian infrastructure of #Ukraine. #Putin is new #Hitler. #ArmUkraineNow https://t.co/…,2022-06-23 09:43:17+00:00
18,gplaucio,RT @raging545: VIDEO of a Ukrainian soldier with a Stinger MANPADs shooting down a Russian Orlan-10 military drone in Eastern #Ukraine.   #…,2022-06-23 09:43:02+00:00
19,gplaucio,RT @Ewe_Paz_HeT: Russia will be as obliterated as it provokes. It must understand it now. Russia is nothing without West. As it was nothing…,2022-06-23 09:42:23+00:00
20,gplaucio,RT @raging545: IMAGE of Russian soldiers captured by Belarusian volunteers of the Ukraine Foreign Legion near Mykolaiv #Ukraine  #Russia #P…,2022-06-23 09:41:40+00:00
21,gplaucio,"RT @Ewe_Paz_HeT: Today, months pass &amp; we realize that Russia is nothing. Neither a military partner of course, nor a civil partner since it…",2022-06-23 09:41:28+00:00
22,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:40:33+00:00
23,pietakmp,RT @carolmswain: #Putin invaded #Ukraine that’s President Biden’s excuse for having wrecked the nation’s economy and it standing in the wor…,2022-06-23 09:33:56+00:00
24,gplaucio,RT @raging545: VIDEO from Severodonestk of Russian soldiers captured  after surrendering. There are some claims by captured Russian soldier…,2022-06-23 09:32:32+00:00
25,AjBaalman,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:31:20+00:00
26,gplaucio,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:30:57+00:00
27,gplaucio,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:30:47+00:00
28,ActionTime,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:30:36+00:00
29,billybirdau,@smudge_green It was #Putin who caused this....if he hadn't invaded #Ukraine this definitely wouldn't have happened....,2022-06-23 09:30:21+00:00
30,gplaucio,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:29:57+00:00
