,user,Tweet,Time
0,hahahahabhe,RT @raging545: VIDEO of Ukrainian partisans destroying Russian military vehicles supposedly in the Russian occupied South of Ukraine.  #Ukr…,2022-06-23 09:53:20+00:00
1,TeresaSardinha9,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:52:27+00:00
2,WriterJackWhite,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:51:30+00:00
3,michaelzachrau,"RT @sabi_ri: ich habe mich entschlossen, diesen thread zu schützen-aus gründen_
ich habe keine lust mit #putintroll|en - dazu zähle ich auc…",2022-06-23 09:50:57+00:00
4,NesinSelma,"RT @wolff_ernst: Wer meint, dass wir keinen 3.#Weltkrieg befürchten müssen, sollte sich die 44 #Eskalationsstufen von Herman #Kahn, dem wic…",2022-06-23 09:45:03+00:00
5,jorg_butow,RT @F13Helmenstein: Robert #Habeck über den #Ukrainekrieg und den #Freiheitskampf der #Ukraine gegen das diktatorische Regime des Aggressor…,2022-06-23 09:44:39+00:00
6,DrunkenPanda42,"#Putin beginnt einen Krieg gegen die #Ukraine, ermordet Unschuldige, droht #Europa und es gibt immernoch Menschen die das unterstützen, solange man nicht an ihren Speck geht. Ein Glück nimmt die niemand mehr ernst.
#Alarmstufe #Habeck",2022-06-23 09:43:53+00:00
7,annie5133,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:43:47+00:00
8,AWhitta46916467,"RT @WarAgainstPutin: Russian orcs dismantled and stole the biggest solar power station in #Ukraine, Tokmak Solar Energy. This is what Russi…",2022-06-23 09:43:26+00:00
9,gplaucio,RT @WarAgainstPutin: Evil #Russia keeps destroying civilian infrastructure of #Ukraine. #Putin is new #Hitler. #ArmUkraineNow https://t.co/…,2022-06-23 09:43:17+00:00
10,gplaucio,RT @raging545: VIDEO of a Ukrainian soldier with a Stinger MANPADs shooting down a Russian Orlan-10 military drone in Eastern #Ukraine.   #…,2022-06-23 09:43:02+00:00
11,gplaucio,RT @Ewe_Paz_HeT: Russia will be as obliterated as it provokes. It must understand it now. Russia is nothing without West. As it was nothing…,2022-06-23 09:42:23+00:00
12,gplaucio,RT @raging545: IMAGE of Russian soldiers captured by Belarusian volunteers of the Ukraine Foreign Legion near Mykolaiv #Ukraine  #Russia #P…,2022-06-23 09:41:40+00:00
13,gplaucio,"RT @Ewe_Paz_HeT: Today, months pass &amp; we realize that Russia is nothing. Neither a military partner of course, nor a civil partner since it…",2022-06-23 09:41:28+00:00
14,indian_ukraine,"RT @KIAAcademYsir: 💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARIN…",2022-06-23 09:40:33+00:00
15,2021Reinvictus,"Più che denazificare l'ucraina, i porci ruSSi vogliono riportarla all'età della pietra, per poi reinsediarvi i loro trogloditi buriati e daghestani e completare così il genocidio degli ucraini

#Zelensky #Russia #Putin #Wagner #Ukraine #Salvini #PutinWarCrimes #RussianArmy https://t.co/ty2embNL6n",2022-06-23 09:39:13+00:00
16,Pere_Mirall,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 09:37:46+00:00
17,KraemerGrit,#Habeck bringt es auf den Punkt: #Putin fürchtet die Entwicklung der #Ukraine hin zu einer demokratischen Gesellschaft. Noch einige Jahre so weiter und das russ. Volk hätte dies als erstrebenswert erkannt. https://t.co/mFtFbXpQ1w,2022-06-23 09:37:12+00:00
18,Odessa_Novosti,"📺 Володимир Зеленський поспілкувався зі студентською спільнотою провідних вишів Канади (сурдо) → https://t.co/gOZNtaI2XG 

Офіс Президента України
#Ukraine #Україна #Украина 🇺🇦
#stopPutin #stopRussia #war criminal #Putin  #AcceptUkraineInNATO #russianukrainia…",2022-06-23 09:36:32+00:00
19,Odessa_Novosti,"📺 Ключове європейське рішення очікуємо надвечір. Звернення Президента 22.06.2022 (версія з сурдо) → https://t.co/44UEHDmkev 

Офіс Президента України
#Ukraine #Україна #Украина 🇺🇦
#stopPutin #stopRussia #war criminal #Putin  #AcceptUkraineInNATO #russianukrai…",2022-06-23 09:36:31+00:00
20,Babajaga64,"RT @wolff_ernst: #Habeck:""#Putin setzt #Energie als #Waffe ein."" Er befürchtet schlimme Folgen für #Herbst &amp; #Winter und gehört dabei einer…",2022-06-23 09:35:39+00:00
21,MB88678207,"RT @marctailer3: Dass #Putin in Russland demokratisch, respektive von den Zustimmungswerten her, breiter im Volk abgestimmt ist als etwa #M…",2022-06-23 09:34:55+00:00
22,Schnauzevoll61,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 09:34:46+00:00
23,Babajaga64,"RT @wolff_ernst: Wer meint, dass wir keinen 3.#Weltkrieg befürchten müssen, sollte sich die 44 #Eskalationsstufen von Herman #Kahn, dem wic…",2022-06-23 09:34:28+00:00
24,pietakmp,RT @carolmswain: #Putin invaded #Ukraine that’s President Biden’s excuse for having wrecked the nation’s economy and it standing in the wor…,2022-06-23 09:33:56+00:00
25,Karsten_Heyde,"Was viele #Putin-Versteher nicht wahrhaben wollen, #Russland hat uns längst den #Krieg erklärt. Nicht so grausam wie der Vernichtungskrieg gegen die #Ukraine, aber mit dem gleichen Ziel: Die Zerstörung der #Demokratie.  https://t.co/LihvFK6gVb",2022-06-23 09:33:28+00:00
26,peyamakurd,"Ukrayna: Rusya’nın gözaltına aldığı siviller geri verildi

https://t.co/Zzcx44Fenb

#ukrayna #rusya #Ukraine #UkraineRussianWar #Rusya #RussiaUkraineWar #Vereşuk #sivil #Putin https://t.co/GTK42151an",2022-06-23 09:33:05+00:00
27,gplaucio,RT @raging545: VIDEO from Severodonestk of Russian soldiers captured  after surrendering. There are some claims by captured Russian soldier…,2022-06-23 09:32:32+00:00
28,Enrico71767783,"RT @2021Reinvictus: @EkaterinaVA8 Esempi di ""liberazione"" ruSSa.
Bastardi assassini

#Zelensky #Russia #Putin #Wagner #Ukraine #Salvini #Pu…",2022-06-23 09:32:27+00:00
29,Pere_Mirall,"RT @wolff_ernst: Wer meint, dass wir keinen 3.#Weltkrieg befürchten müssen, sollte sich die 44 #Eskalationsstufen von Herman #Kahn, dem wic…",2022-06-23 09:31:55+00:00
30,HansSchella,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 09:31:42+00:00
31,AjBaalman,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:31:20+00:00
32,gplaucio,RT @kiraincongress: We need to make sure that we just take #russian money from all over the world where we can find it and send it to #Ukra…,2022-06-23 09:30:57+00:00
33,gplaucio,"RT @Ewe_Paz_HeT: Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride…",2022-06-23 09:30:47+00:00
34,ActionTime,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:30:36+00:00
35,billybirdau,@smudge_green It was #Putin who caused this....if he hadn't invaded #Ukraine this definitely wouldn't have happened....,2022-06-23 09:30:21+00:00
36,gplaucio,RT @ActionTime: #RussianLosses Are HUGE: #Russian momentum in #Ukraine Could SLOW as #Russia Exhausts Resources #StopPutinNow #PutinsWarCri…,2022-06-23 09:29:57+00:00
37,3rd_stone_f_sun,"#Ukraine #UkraineWar #Putin #Habek 

Dem ist nichts hinzuzufügen... 👍 https://t.co/Avp3B2k3gc",2022-06-23 09:29:39+00:00
38,Ewe_Paz_HeT,"Criminals are always cynical, mocking, smiling and satisfied with their misdeeds. The day they hang on a rope, their pride disappears. Just before, during and after. Definitively. The rope is ready and even adapted to the size of a dwarf.
#Ukraine #UkraineWar #Putin",2022-06-23 09:29:22+00:00
39,TypMitKatze,"RT @marctailer3: Dass #Putin in Russland demokratisch, respektive von den Zustimmungswerten her, breiter im Volk abgestimmt ist als etwa #M…",2022-06-23 09:28:36+00:00
40,BubuH1974,"RT @wolff_ernst: Der #ukrainische #Botschafter #Andriij #Melnyk zum #Spiegel: ""#Putin ist wie eine Symbiose aus #Hitler &amp; #Stalin.""
In mein…",2022-06-23 09:28:05+00:00
41,2021Reinvictus,"@EkaterinaVA8 Esempi di ""liberazione"" ruSSa.
Bastardi assassini

#Zelensky #Russia #Putin #Wagner #Ukraine #Salvini #PutinWarCrimes #RussianArmy #RussianWarCrimes #Mariupol #Odessa #Moskva #Azov #SlavaUkraini https://t.co/G1xKlFWrGb",2022-06-23 09:27:56+00:00
42,gplaucio,"RT @C_W_UK: 🇺🇦 #Ukraine #StandWithUkraine ✌
🇫🇮 #Finland 
#Putin 
#Russia",2022-06-23 09:27:17+00:00
43,RamitPMasti,Gas prices sting US workers who depend on their cars (from @AP) #Gasprices #Russia #Ukraine #Putin #inflation  https://t.co/uzwZqJx2C1,2022-06-23 09:27:16+00:00
44,AarnaPrakash,"Ukraine's president said today there is no shortage of words that Russia did the same on February 24 as the Nazis did on June 22

Read more: https://t.co/qN1gaAMQW3

#Russia #Putin #Zelenskyy #Ukraine #RussiaUkraineWar https://t.co/7xOcDXXNid",2022-06-23 09:26:46+00:00
45,EBuisson,"RT @marctailer3: Dass #Putin in Russland demokratisch, respektive von den Zustimmungswerten her, breiter im Volk abgestimmt ist als etwa #M…",2022-06-23 09:25:51+00:00
46,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky   
https://t.co/fMqB3FANsB",2022-06-23 09:25:47+00:00
47,10WallStreet,RT @10WallStreet: Its Obvious #Zelenskyy is Blowing Smoke Up Asses  at #NATO. Time To Consider What #Putin Win Means in #Ukraine. Partition…,2022-06-23 09:23:14+00:00
48,Antin1710,"@Microsoft: #Russian #Cyber #Spying Targets 42 #Ukraine Allies    
#AtrocitiesOfKremlin #War #Russia #Kremlin #Putin #closethesky    
https://t.co/fMqB3FANsB",2022-06-23 09:22:12+00:00
49,C_W_UK,"🇺🇦 #Ukraine #StandWithUkraine ✌
#Putin 
#RussiaUkraineWar https://t.co/7rZps2U6iC",2022-06-23 09:21:29+00:00
50,KIAAcademYsir,"💡DAY-117 ... Stop WAR  &amp;  Make PEACE ..🕊️

#UkraineRussiaWar #NATO #Ukraine #RussianUkrainianWar #RussiaUkraine   #WARINUKRAINE #putin #Zelenskyy #UkraineUnderAttack #mariupol #Russia #India #Ukraine #Bucha #BuchaMasacre #BuchaGenocide #indianstudentsinukraine https://t.co/Olh0NwkgSM",2022-06-23 09:19:50+00:00
51,jjaranaz94,"RT @TrasElValle_OBC: ""#Alba (#crítica)"":

https://t.co/rWiGJmG3Sh

#Covid19 #Covid_19 #COVIDー19 #Putin #Ucrania #Rusia #Kiev #TerceraGuerra…",2022-06-23 09:19:18+00:00
52,jjaranaz94,"RT @TrasElValle_OBC: ""25 años de #SaberYGanar"":

https://t.co/vOBUDhohr9

#25añosSaberYGanar #Rusia #Covid #COVIDー19 #TerceraGuerraMundial…",2022-06-23 09:19:07+00:00
53,C_W_UK,"🇺🇦 #Ukraine #StandWithUkraine ✌
🇫🇮 #Finland 
#Putin 
#Russia https://t.co/oWbYKlCvlS",2022-06-23 09:18:55+00:00
54,RamitPMasti,The AP Interview: Estonian PM says don't play down Russia (from @AP) #Ukraine #Russia #Estonia #EU #Putin  https://t.co/Iu0l2gsoZj,2022-06-23 09:18:52+00:00
55,jjaranaz94,"RT @TrasElValle_OBC: ""A mis abuelos; a los cuatro"":

https://t.co/0bbJIIIywv

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Uk…",2022-06-23 09:18:45+00:00
56,jjaranaz94,"RT @jjaranaz94: ""Tenéis que ver'#You'"":

https://t.co/XMKNInbbiv

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine #Russia…",2022-06-23 09:18:40+00:00
57,jjaranaz94,"RT @TrasElValle_OBC: ""Tenéis que ver'#You'"":

https://t.co/XdyUpY20z4

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukraine #…",2022-06-23 09:18:34+00:00
58,jjaranaz94,"RT @jjaranaz94: ""Por gilip... puertas"":

https://t.co/iUalQznpAn

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine #Russia…",2022-06-23 09:18:29+00:00
59,jjaranaz94,"RT @TrasElValle_OBC: ""Por gilip... puertas"":

https://t.co/SiJor3NP59

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukraine #…",2022-06-23 09:18:24+00:00
60,jjaranaz94,"RT @jjaranaz94: ""Un cumpleaños diferente"":

https://t.co/pVFcJea58x

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukraine #Ru…",2022-06-23 09:17:59+00:00
61,jjaranaz94,"RT @TrasElValle_OBC: ""Un #cumpleaños diferente"":

https://t.co/UJgfILigAt

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine…",2022-06-23 09:17:56+00:00
62,NewsPerpetual,"PPN World News - 21 June 2022 • Afghanistan earthquake • Miami plane crash • Russia vs Lithuania
https://t.co/u3aEUSWbW2
#Kaliningrad #Russia #Lithuania #Afghanistan #Uvalde #Erdogan #Ukraine #Putin #WarInUkraine #Zelenskyy #Lebanon #RedAir #PlaneCrash #aviation #UvaldeCoverUp",2022-06-23 09:17:55+00:00
63,jjaranaz94,"RT @TrasElValle_OBC: ""'PedaZitos' de vuelta (IV)"":

https://t.co/fenm0sfOzs

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukrai…",2022-06-23 09:17:47+00:00
64,jjaranaz94,"RT @TrasElValle_OBC: ""Más cerca de los 30 que de los 20"":

https://t.co/a13udDdP8A

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid…",2022-06-23 09:17:31+00:00
65,jjaranaz94,"RT @jjaranaz94: #TEVDA300:

https://t.co/IxvzNGAq3n

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukraine #Russia #ToqueDeQue…",2022-06-23 09:17:21+00:00
66,jjaranaz94,"RT @TrasElValle_OBC: ""#TEVDA300"":

https://t.co/zwwtHWbaTN

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine #Russia #Toque…",2022-06-23 09:17:16+00:00
67,jjaranaz94,"RT @jjaranaz94: ""25 años de 'Saber y ganar'"":

https://t.co/bQrSJsjgw1

#Paaaporte #Rusia #Covid #COVIDー19 #Contagios #Positivos #Ayuso #Ca…",2022-06-23 09:15:56+00:00
68,jjaranaz94,"RT @jjaranaz94: ""Desde #LaPalma hasta #Ucrania"":

https://t.co/SBVRTIxK0Q

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine…",2022-06-23 09:15:49+00:00
69,jjaranaz94,"RT @jjaranaz94: Más cerca de los 30 que de los 20:

https://t.co/UrjpdXg93l

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukr…",2022-06-23 09:15:46+00:00
70,jjaranaz94,"RT @jjaranaz94: ""'PedaZitos' de vuelta (IV)"":

https://t.co/l2NjfU2QKa

#COVID19 #Covid_19 #COVIDー19 #Contagios #Positivos #Covid #Ukraine…",2022-06-23 09:15:29+00:00
71,jjaranaz94,"RT @TrasElValle_OBC: ""No me da la vida"":

https://t.co/SNhgXcdYj7

#COVID19 #Covid_19 #COVIDー19 #Contagio #Positivo #Covid #Ukraine #Russia…",2022-06-23 09:14:46+00:00
72,michaelGr50,"RT @sabi_ri: ich habe mich entschlossen, diesen thread zu schützen-aus gründen_
ich habe keine lust mit #putintroll|en - dazu zähle ich auc…",2022-06-23 09:14:23+00:00
