,user,Tweet,Time
0,HerryNapit,"RT @HerryNapit: Explosion at a gas station in #Talitsa🔥, Sverdlovsk region. Why so many explosion lately in Russia, Putin? Karma? Russian i…",2022-06-23 11:40:13+00:00
1,HerryNapit,"RT @HerryNapit: #Russia's invasion of #Ukraine worsens crises in Afghanistan, Lebanon, Myanmar, Palestine, Syria, Yemen, Tigray, Africa.…",2022-06-23 11:39:37+00:00
2,HerryNapit,"RT @HerryNapit: Lysychansk. The father saw his son's body.

""Russian Peace"" congratulates on Father's Day💔

#Lysychansk #Ukraine #Ukraina #…",2022-06-23 11:39:06+00:00
3,HerryNapit,"RT @HerryNapit: Ukraine war: Putin creates global food, fuel and financial crisis, push millions of people in Afghanistan, Lebanon, Myanmar…",2022-06-23 11:38:51+00:00
4,HerryNapit,RT @HerryNapit: Russia: Did Putin try to poison a peace delegation in Ukraine? 😱https://t.co/chBO92vJbD #Putin☠️ #Russia #Rusia #Russian #R…,2022-06-23 11:38:44+00:00
5,HerryNapit,"RT @HerryNapit: Ukraine war: Thousands of civilians have been killed, towns reduced to rubble. 

Russian FM, Lavrov says Russia is not sque…",2022-06-23 11:38:37+00:00
6,HerryNapit,"RT @HerryNapit: China, India, EU (France, Germany, etc.) major buyers of Russian oil are fueling Putin's war on Ukraine, spike food and fue…",2022-06-23 11:38:08+00:00
7,HerryNapit,"RT @HerryNapit: Putin's brutal war: Thousands of civilians have been killed, Ukrainian towns reduced to rubble, millions of Ukrainians have…",2022-06-23 11:38:01+00:00
8,HerryNapit,RT @HerryNapit: Russia - Ukraine war: Heads shot and hands tied. Another mass grave was found in the #Bucha district of #Kyiv region. Accor…,2022-06-23 11:37:17+00:00
9,HerryNapit,"RT @HerryNapit: Russia - Ukraine war: Phone calls intercepted by Ukrainian intel &gt;&gt;&gt;&gt;&gt; Russian soldiers eat dogs, and come back home in clo…",2022-06-23 11:37:10+00:00
10,HerryNapit,RT @HerryNapit: Russia - Ukraine war: Ukrainian army and Ukrainians fight to protect their homeland. Defend themselves from the Russians. T…,2022-06-23 11:37:04+00:00
11,HerryNapit,"RT @HerryNapit: Ukraine war: Russians are facing the brunt of the climate change crisis. Russian vehicles in #Bryansk region, Russia are on…",2022-06-23 11:36:42+00:00
12,MohammedAbbasi,"RT @_AhmedQuraishi: #Indonesia's President @jokowi to visit #Ukraine, meet President @ZelenskyyUa. Will also meet #Putin in #Russia. Imp me…",2022-06-23 11:32:49+00:00
13,humankind_of,"#Ukraine #UkraineUnderAttack #Putin 
Putin has ‘strategically lost Ukraine war', says Head of UK armed forces https://t.co/Qb6hAFqg8w via @YouTube",2022-06-23 11:30:34+00:00
14,RetweetDc,RT @IahRataza: The World needs   https://t.co/JCFpVIzYhr  #hiphop #comiccon #dccomics #rap #marvel #wd3 #monkeypox #NBA #playlists #newmedi…,2022-06-23 11:29:48+00:00
15,IahRataza,RT @IahRataza: The World needs #love  https://t.co/JCFpVIzYhr  #hiphop #comiccon #dccomics #rap #marvel #wd3 #Midterms2022  #NBA #playlists…,2022-06-23 11:29:26+00:00
16,IahRataza,RT @IahRataza: The World needs   https://t.co/JCFpVIzYhr  #hiphop #comiccon #dccomics #rap #marvel #wd3 #monkeypox #NBA #playlists #newmedi…,2022-06-23 11:29:22+00:00
17,IahRataza,RT @IahRataza: The World needs #love  https://t.co/JCFpVIzYhr  #hiphop #comiccon #dccomics #rap #marvel #wd3 #monkeypox #NBA #playlists #ne…,2022-06-23 11:29:16+00:00
18,10WallStreet,RT @10WallStreet: #DonbassWar WONT Be Long. #Zelensky is Running Out of Volunteer #NeoNazis To Die for a War About Nothing But #NATO's Agen…,2022-06-23 11:22:24+00:00
19,10WallStreet,#DonbassWar WONT Be Long. #Zelensky is Running Out of Volunteer #NeoNazis To Die for a War About Nothing But #NATO's Agenda To Humiliated #Putin &amp; Destroy #Ukraine as a Nation. #msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #npr #fox #nyt #wapo #nbc #cbs #eu #g7 #ap https://t.co/PFUFgntKmH,2022-06-23 11:21:51+00:00
20,Global_Policy,Branko Milanovic  - What if Putin’s True Goals are Different?  #IronCurtain #Sovereignty #Ukraine #Russia #Biden #Putin https://t.co/dhteb10G6J https://t.co/jI1puLo9ct,2022-06-23 11:20:02+00:00
21,andrzejmorytko9,RT @bctallis: Really encouraging to see that #Germany's people support a tougher line on #Putin. Lets hope this empowers the Germany politi…,2022-06-23 11:19:02+00:00
22,Mathias8Wolf,RT @bctallis: Really encouraging to see that #Germany's people support a tougher line on #Putin. Lets hope this empowers the Germany politi…,2022-06-23 11:18:40+00:00
23,10WallStreet,RT @10WallStreet: #Zelenskyy: Is Stooging for #NATO's Proxy War with #Russia &amp; #China. #Ukraine will be Destroyed https://t.co/xIJElJ73fU #…,2022-06-23 11:18:08+00:00
24,10WallStreet,#Zelenskyy: Is Stooging for #NATO's Proxy War with #Russia &amp; #China. #Ukraine will be Destroyed https://t.co/xIJElJ73fU #msnbc #foxnews #nytimes #cnn #wsj #cnbc #politico #huffpost #newsmax #gop #npr #fox #nyt #wapo #nbc #cbs #putin #EU #g7 #drudge #germany #lviv #bbc #DonbassWar,2022-06-23 11:17:29+00:00
25,VoordePost,RT @AarnaPrakash: Ukraine's president said today there is no shortage of words that Russia did the same on February 24 as the Nazis did on…,2022-06-23 11:10:15+00:00
26,jpinckston,"RT @andersleijersta: 89 mil people in Africa a suffering food shortages as a result of what #Putin has done in #Ukraine.

The world should…",2022-06-23 11:09:40+00:00
27,KaCarmina,RT @Athena_Tiberia: #Putin stages this war because he can't stand individual freedom. #Ukraine's desire for freedom is a threat for dictato…,2022-06-23 11:07:13+00:00
