Unnamed: 0,user,Tweet,Time
0,Judgenap,"Putin did NOT start the Ukraine War
Col Doug Macgregor 
#Putin #Ukraine #Biden
see full vid:
https://t.co/1ltmeM4FZk https://t.co/7NbcT50dpo",2022-06-21 19:42:58+00:00
1,kiraincongress,"#Pentagon may double the supply of #Himars MLRS to #Ukraine - @politico. We hope the decision will be made! If it happens, we will receive 14 rocket launchers from the #US, #Britain and #Germany. Let's stop #putin by working together and as soon as possible! https://t.co/dIAV7ytJBl",2022-06-20 07:00:00+00:00
2,nexta_tv,"The #Russian Ministry of Emergency Situations will request 15 billion rubles from the federal budget for the deployment of a ""Safe City"" system in the regions bordering on #Ukraine.

Maybe it would be better to ask #Putin to stop the war? https://t.co/mGX57CmqWx",2022-06-20 06:31:36+00:00
3,LSaczak,"RT @officejjsmart: This is what it looks like when the #Russian 🇷🇺 Army comes to visit your town; as shown today in #Ukraine 🇺🇦.

Only a fo…",2022-06-21 23:59:49+00:00
4,ReArtistron,RT @VivianAaron5: Check out this new framed print that I uploaded to https://t.co/f1IowKhpIZ! https://t.co/AQKWb8HFtM #Ukraine #Putin #Crim…,2022-06-21 23:58:13+00:00
5,_Thirunarayan1,"Corporate America is 'disappointed' in the Fed for getting inflation wrong, Gary Cohn tells CNN https://t.co/vVPbaMOwCC
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:57:14+00:00
6,_Thirunarayan1,"3 hospitalized after commercial plane landing gear collapsed at Miami International Airport https://t.co/37Gi534weR
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:57:14+00:00
7,_Thirunarayan1,"Biden chides oil CEOs for getting 'their feelings hurt' as he ramps up criticism https://t.co/l5xtsUPEjr
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:57:14+00:00
8,_Thirunarayan1,"Senators unveil long-awaited bill text for bipartisan gun safety legislation https://t.co/h8w3gr0IJ4
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:57:14+00:00
9,_Thirunarayan1,"Jury finds Bill Cosby liable in sexual battery case https://t.co/0fP3KsrCzc
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:57:14+00:00
10,detectivelily,"RT @WilhelmOrmstein: ⚡️Putin's Last warning in late 2021 

⚠️  Fulfil the Minsk Agreements! 
After 8 years of asking, this was President Pu…",2022-06-21 23:57:11+00:00
11,officejjsmart,"This is what it looks like when the #Russian 🇷🇺 Army comes to visit your town; as shown today in #Ukraine 🇺🇦.

Only a fool believes #Putin, a #WarCriminal, plans to stop after 🇺🇦. He shows every sign that NATO-ally  #Estonia 🇪🇪, #Latvia 🇱🇻, or #Lithuania 🇱🇹 is next. https://t.co/4U1MgAPxaD",2022-06-21 23:56:58+00:00
12,ge_somma,"RT @SpreadArguments: [52sec] #Ukraine joining #EU - Greater unification - will be a powerful answer to #Putin's plan to split EU.

Spread t…",2022-06-21 23:51:15+00:00
13,U_Tribune,"US 'Nazi hunter' to identify and prosecute ruscists for war crimes in Ukraine

 #Nazihunter #ruscists #russia #Ukraine #war #warcrimes #russiaUkraineWar #UkrainerussiaWar #russianArmy #putinWarCriminal #moscow #putin

https://t.co/CoU3ZjdP9e https://t.co/CisQffkCu8",2022-06-21 23:50:47+00:00
14,truthjustice61,"War in #Ukraine🇺🇦🌻: Your questions answered | 14 June 2022 @SkyNews 👇

https://t.co/toBgPm33cp

Interesting. Great if UA retakes #Khershon from RU. #Putin/#Russian #liars CANNOT be #trusted.

#ProfMichaelClarke #KingsCollege #London, fmr. Dir. @RUSI_org .",2022-06-21 23:43:12+00:00
15,beerkale,"RT @WilhelmOrmstein: ⚡️Putin's Last warning in late 2021 

⚠️  Fulfil the Minsk Agreements! 
After 8 years of asking, this was President Pu…",2022-06-21 23:40:46+00:00
16,_Thirunarayan1,"Hallie Jackson NOW - June 21 | NBC News NOW 
https://t.co/SftOqmWZq1 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:38:00+00:00
17,mistermagoohere,"The problem is everyone thinks #Putin will give up eventually. He won't give up his path even if it means killing every man, woman and child in #Ukraine. The only way to stop him is if he is dead. He will be the one that gets blamed so he must win, no matter the cost east or west",2022-06-21 23:37:42+00:00
18,UNISdirect,"@SenatorDurbin: Amid #Putin's War, #NATO is Stronger Than Ever https://t.co/rVDWKhlYBb via @YouTube
#Ukraine #russiaStateSponsorTerror",2022-06-21 23:36:17+00:00
19,BLURTHEGHOST,"That's how you know Satan is real, the demon gods puppet mastering putin, or he wouldn't have lasted this long. He even has a BOMB named Satan😡 #putin #russia #UKRAINE #PUTHIMDOWN and it's business as usual.😑",2022-06-21 23:35:13+00:00
20,RingoNbi,"RT @Magnifyingglas_: Something wrong with the right
arm of #putin

#Ukraine
#UkraineUnderAttaсk
#VictoryDayParade https://t.co/6JwjGmovCA",2022-06-21 23:32:01+00:00
21,IrynaFilipchuk,"RT @Mariia_Zolkina: To understand strategic loss of #Russia in its war against #Ukraine pay attention to this: tomorrow, on June, 22, the s…",2022-06-21 23:30:47+00:00
22,_Thirunarayan1,"Opinion: Eric Greitens' shotgun ad fans the flames of violence https://t.co/gcgUfY60H5
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:27:13+00:00
23,_Thirunarayan1,"Jury finds Bill Cosby guilty of sexual battery in decades-old incident https://t.co/0fP3KsrCzc
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 23:27:13+00:00
24,Marcnelsonart,RT @RonanLTynan: For #Ukraine now more important than ever that we redouble our efforts to press #Russia to withdraw and end egregious aggr…,2022-06-21 23:26:55+00:00
25,BLURTHEGHOST,"That's the new age we're headed into, a world leader steps out of line, zap them to hell with a satellite stealth guided FREAKEN laser beam from outer space. #putin #russia #UKRAINE #PUTHIMDOWN",2022-06-21 23:26:28+00:00
26,ThinkPeace2022,"@McFaul Lovely thought, but you know #Putin’s only begun his war scheme. He knows how little patience and spine the members of #NATO and the #EU have. Europe needs America; America doesn’t need the #EU.  #Ukraine",2022-06-21 23:24:30+00:00
27,WilhelmOrmstein,"💰 Sanctions against Russia hitting all the right people in the right places. 😘

#Russia #Ukraine #Putin #UkraineWar #Zelensky #inflation #ukrainerussiawar #russiaukrainewar #NATO #Germany #USA 

https://t.co/xg13OKje9o",2022-06-21 23:22:41+00:00
28,MasterFeed,"Keep Buggering On — Even If #Putin Is Winning in #Ukraine

Those ""who assert skepticism about the prospects of Ukrainian victory, are widely derided as at best ""ultra-realists"" ­— not intended as a term of flattery — and at worst as appeasers. [They] lie awake nights, search… https://t.co/npcPUJSG2O",2022-06-21 23:21:58+00:00
29,Melaniebrowder1,RT @MarkSabah: 2/3 Since then dozens of other countries around the world have adopted  versions of #Magnitsky Laws and targeted #sanctions.…,2022-06-21 23:21:09+00:00
30,KatsuhikoTsuda,"RT @HudsonInstitute: Hudson's @todlindberg discusses how #Putin ""returned the question of morality or values to the foreground of internati…",2022-06-21 23:19:00+00:00
31,MamogongM,"Every single day, country are waking up ⬆️ too #CCP #BRI debt 💸 🪤 places like #Bangladesh #SriLanka hope their financial woes be changed. All #CCP does and promote are totally 💯 fake. #Ukraine first #Taiwan next, was Pooh #XiJinping &amp; Pudding #Putin alliance in #Beijing2022 https://t.co/RXXUGC0u5Y",2022-06-21 23:18:48+00:00
32,Tianshui2022,"RT @UKwenxuan: Now #Putin is back against the wall. Whenever he starts talking about something he thinks #NATO, #Ukraine or the United Stat…",2022-06-21 23:17:56+00:00
33,igeusllc,"RT @Rebelxmachina: It's time for #Putin's annual eye exam... 👀

#StandWithUkraine #Ukraine #StopPutinNOW https://t.co/knrMg96iw6",2022-06-21 23:15:47+00:00
34,ming63791097,"RT @UKwenxuan: Now #Putin is back against the wall. Whenever he starts talking about something he thinks #NATO, #Ukraine or the United Stat…",2022-06-21 23:15:36+00:00
35,igeusllc,RT @DanielS18352008: #Ukraine 🇺🇦should give #Putin 🇷🇺a piece of land! About half cubic meter🤣 https://t.co/g6ENOBPw8u,2022-06-21 23:14:26+00:00
36,ThomasHemberge1,"RT @DannyClifford: Here we go! Russia violate Estonia’s air space for first time &amp; yes, they are members of  #NATO #Putin #Russia #Estonia…",2022-06-21 23:05:37+00:00
37,ProtoJays,"RT @TLlanelli: @haynesdeborah #NATO 1.1 Billion people and huge military v
#Putin 140 Million Russians and much smaller military 

@NATO sh…",2022-06-21 23:01:53+00:00
38,DannyClifford,"Here we go! Russia violate Estonia’s air space for first time &amp; yes, they are members of  #NATO #Putin #Russia #Estonia #Ukraine #war #putinwarcriminal  https://t.co/b1n0yqaySG",2022-06-21 23:01:05+00:00
39,_Thirunarayan1,"Threats against public servants define chilling January 6 hearing https://t.co/ZVMFK1R7UF
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:57:13+00:00
40,_Thirunarayan1,"Analysis: The single most compelling witness of the January 6 committee hearings so far https://t.co/NGRyBgcOPF
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:57:12+00:00
41,ExistCafe2021,"RT @UKwenxuan: Now #Putin is back against the wall. Whenever he starts talking about something he thinks #NATO, #Ukraine or the United Stat…",2022-06-21 22:55:48+00:00
42,lionima2,"⌛ I'm waiting for you (⌐■_■).✌🏼
...
#NFTSPACESHIP #Tez #NFTCommumity #Hannibal  #Invasion  #Pop Art NFT #Peace NFT #Putin #global peace  #Humanity      #End the war every where #Help End the War #Ukraine #gifanimation",2022-06-21 22:55:36+00:00
43,DaGodfather59,"RT @officejjsmart: Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #Arm…",2022-06-21 22:54:51+00:00
44,devSmirnov,"Dear #world,
It’s time to choose your side. #Russia #Putin will not stop on #Ukraine. Only all together we can #StopWarInUkraine and make people live in #peace and #freedom. Please help and share this🙏🏻🇺🇦",2022-06-21 22:54:27+00:00
45,_inutilite_,"RT @ryanscribe: Watch @Jake_Hanrahan’s powerful new film, on #Ukraine’s #antifascists battling #Putin’s war machine. Essential viewing.
htt…",2022-06-21 22:52:14+00:00
46,socialismoolib1,"🇺🇦#UKRAINE #UKRAINERUSSIAWAR 

#News 

🔫06/21/2022 ISW Day 117

🇷🇺Genocidal #Putin communist #Russia

Setting info conditions to justify slow unsuccessful advance to #Slovyansk from SE #Izyum-W #Lyman 

To interdict Ukrainian #communication lines along T1302 #Bakhmut-#Lysychansk https://t.co/4dihACWnlD",2022-06-21 22:51:27+00:00
47,WilhelmOrmstein,"🇪🇺  Europe is developing emergency plans to switch to coal.

 This will all lead to.... you guessed it.
.
.
.
.
""Putin's Global Warming!""

#Russia #Ukraine #Putin #UkraineWar #Zelensky #inflation #ukrainerussiawar #russiaukrainewar #NATO #ClimateCrisis #ClimateJustice https://t.co/XUQwXwuu99",2022-06-21 22:47:07+00:00
48,SnelgarBryce,"RT @officejjsmart: Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #Arm…",2022-06-21 22:46:57+00:00
49,HudsonInstitute,"Hudson's @todlindberg discusses how #Putin ""returned the question of morality or values to the foreground of international politics"" the day #Russia invaded #Ukraine in @Commentary.
https://t.co/cJyConbcmT",2022-06-21 22:43:00+00:00
50,_Thirunarayan1,"Hasen: ‘Bipartisan’ Bill On Protecting Election Officials Is Underway 
https://t.co/bO5IBKEGyo 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:42:57+00:00
51,thankyou_nurses,"RT @officejjsmart: Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #Arm…",2022-06-21 22:41:51+00:00
52,MondeeRedman,RT @RonanLTynan: For #Ukraine now more important than ever that we redouble our efforts to press #Russia to withdraw and end egregious aggr…,2022-06-21 22:40:22+00:00
53,RonanLTynan,For #Ukraine now more important than ever that we redouble our efforts to press #Russia to withdraw and end egregious aggression as #Putin continues warcrimes masquerading as war as continues to repeat horror inflicted on #Syria with #Assad slaughtering parents and children @ICC https://t.co/uUFvUIfKmI,2022-06-21 22:39:55+00:00
54,explor3s,"RT @officejjsmart: Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #Arm…",2022-06-21 22:39:26+00:00
55,Bell_Tent_EU,RT @raging545: VIDEO of Ukrainian military destroying a floating Russian mine with gunfire offshore Odessa in Southern Ukraine.  Ther have…,2022-06-21 22:37:56+00:00
56,CryHavoc0711,"RT @officejjsmart: Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #Arm…",2022-06-21 22:36:34+00:00
57,Mariusz_w36,RT @kiraincongress: It is impossible to feed #putin from one pocket and help #Ukraine from another. The democratic countries need to stick…,2022-06-21 22:31:08+00:00
58,officejjsmart,"Two #Ukrainian 🇺🇦 MiG-29 fighter jets, somewhere over the #Donbas this evening.

#UkraineRussiaWar #UkraineInvasion #ArmUkraine #ArmUkraineNow #denazification #RussiaInvadedUkraine #ukraine #Russia #Putin #PutinsAWarCriminal #Donbass #mig29 #MiG https://t.co/zRwY4ARtrO",2022-06-21 22:31:07+00:00
59,pricegspt,"@KYTKYTKYTKYTKYT @Chainfreeze Translation:
(1/2)several more Ukrainian soldiers were arrested in Malaya (LNR). Men aged 46 and 55 taken from work by Ukrainian authorities to go to war.Once they arrived all their equipment was destroyed,

# Ukraine #Putin #putin # Rusia #Ukraine #UkraineWar",2022-06-21 22:30:57+00:00
60,jimpulfer,"Um, No, Joe @POTUS. Democracy is at stake. If #Putin is not stopped in the #Ukraine, you can be damned sure he won't hesitate to then take on #Kazakhstan or #Lithuania. Nor will he be deterred from meddling in the 2024 #Presidential election. He's an existential threat to you/USA https://t.co/rQkzSDIh1K",2022-06-21 22:28:42+00:00
61,_Thirunarayan1,"Rep. Henry Cuellar will defeat progressive primary challenger Jessica Cisneros https://t.co/4nwvgNPEUR
#Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:27:11+00:00
62,JorgeMouta_,"Yes, Putin has terminal cancer.

#US
#BIDEN
#UkraineRussiaWar 
#Ukraine
#PUTIN https://t.co/Z2CSYXP9aJ",2022-06-21 22:25:04+00:00
63,LadyPoop2,RT @HerryNapit: Russia: Did Putin try to poison a peace delegation in Ukraine? 😱https://t.co/chBO92vJbD #Putin☠️ #Russia #Rusia #Russian #R…,2022-06-21 22:24:13+00:00
64,_Thirunarayan1,"MTP NOW June 21 — Katie Hobbs, Rick Hasen, Steve Kornacki 
https://t.co/AAycel3tVw 
#Biden #NBC #MSNBC #CNBC #India #CNN #World #shorts #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden",2022-06-21 22:22:56+00:00
