Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Batman,"$760,363,378","$368,863,378",48.5%,"$391,500,000",51.5%
2,Water Gate Bridge,"$626,203,271","$117,294",<0.1%,"$626,085,977",100%
3,Uncharted,"$394,718,043","$146,118,043",37%,"$248,600,000",63%
4,Fantastic Beasts: The Secrets of Dumbledore,"$329,553,588","$79,553,588",24.1%,"$250,000,000",75.9%
5,Sonic the Hedgehog 2,"$323,525,510","$160,925,510",49.7%,"$162,600,000",50.3%
6,Too Cool to Kill,"$217,256,003","$185,882",<0.1%,"$217,070,121",99.9%
7,Nice View,"$211,019,289",-,-,"$211,019,289",100%
8,Morbius,"$161,457,347","$71,457,347",44.3%,"$90,000,000",55.7%
9,The Lost City,"$148,919,912","$90,819,912",61%,"$58,100,000",39%
10,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
11,Death on the Nile,"$137,047,075","$45,630,104",33.3%,"$91,416,971",66.7%
12,The Bad Guys,"$118,740,400","$44,444,400",37.4%,"$74,296,000",62.6%
13,RRR,"$99,783,249","$11,113,000",11.1%,"$88,670,249",88.9%
14,K.G.F: Chapter 2,"$89,234,090","$2,874,000",3.2%,"$86,360,090",96.8%
15,Jackass Forever,"$80,340,218","$57,743,451",71.9%,"$22,596,767",28.1%
16,Dog,"$76,728,767","$61,688,803",80.4%,"$15,039,964",19.6%
17,Ambulance,"$49,822,375","$21,050,375",42.3%,"$28,772,000",57.7%
18,Marry Me,"$49,567,516","$22,438,180",45.3%,"$27,129,336",54.7%
19,Moonfall,"$43,409,391","$19,060,660",43.9%,"$24,348,731",56.1%
20,The Northman,"$41,618,350","$22,806,350",54.8%,"$18,812,000",45.2%
21,Everything Everywhere All at Once,"$38,236,688","$35,492,178",92.8%,"$2,744,510",7.2%
22,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
23,Detective Conan: The Bride of Halloween,"$28,392,734",-,-,"$28,392,734",100%
24,The 355,"$27,658,572","$14,570,455",52.7%,"$13,088,117",47.3%
25,The Kashmir Files,"$24,878,524","$1,485,000",6%,"$23,393,524",94%
26,The Confidence Man JP: Episode of the Hero,"$23,100,870",-,-,"$23,100,870",100%
27,The Last 10 Years,"$21,740,100",-,-,"$21,740,100",100%
28,Doraemon the Movie: Nobita's Little Star Wars 2021,"$19,445,055",-,-,"$19,445,055",100%
29,Father Stu,"$17,554,708","$17,553,965",100%,$743,<0.1%
30,Turning Red,"$16,744,226",-,-,"$16,744,226",100%
31,The Unbearable Weight of Massive Talent,"$15,985,743","$13,504,358",84.5%,"$2,481,385",15.5%
32,Radhe Shyam,"$15,975,683","$1,860,000",11.6%,"$14,115,683",88.4%
33,Blacklight,"$15,482,107","$9,591,094",61.9%,"$5,891,013",38.1%
34,Maison de retraite,"$15,406,667",-,-,"$15,406,667",100%
35,Bheemla Nayak,"$15,243,922",-,-,"$15,243,922",100%
36,Wunderschön,"$14,982,641",-,-,"$14,982,641",100%
37,Super-héros malgré lui,"$14,769,147",-,-,"$14,769,147",100%
